date,equity
2025-09-05,120525.425817
2025-09-08,121585.29581699999
2025-09-09,119162.735817
2025-09-10,119162.735817
2025-09-11,120071.19581699999
2025-09-12,119314.145817
2025-09-15,117800.045817
2025-09-16,119162.735817
2025-09-17,118859.91581699999
2025-09-18,117042.995817
2025-09-19,117345.815817
2025-09-22,116285.94581699999
2025-09-23,114166.205817
2025-09-24,115831.715817
2025-09-25,114771.845817
2025-09-26,114771.845817
2025-09-29,114771.845817
2025-09-30,117194.40581699999
2025-10-09,118102.865817
2025-10-10,117345.815817
2025-10-13,118102.865817
2025-10-14,117800.045817
2025-10-15,117345.815817
2025-10-16,115528.895817
2025-10-17,113257.745817
2025-10-20,114771.845817
2025-10-21,115680.30581699999
2025-10-22,118405.685817
2025-10-23,118254.27581699999
2025-10-24,120828.245817
2025-10-27,121736.70581699998
2025-10-28,133849.505817
2025-10-29,132486.815817
2025-10-30,130176.60203699999
2025-10-31,130176.60203699999
2025-11-03,130176.60203699999
2025-11-04,130176.60203699999
2025-11-05,130176.60203699999
2025-11-06,130176.60203699999
2025-11-07,130176.60203699999
2025-11-10,130176.60203699999
2025-11-11,130176.60203699999
2025-11-12,130176.60203699999
2025-11-13,130176.60203699999
2025-11-14,130176.60203699999
2025-11-17,130176.60203699999
2025-11-18,130176.60203699999
2025-11-19,130176.60203699999
2025-11-20,130176.60203699999
2025-11-21,130176.60203699999
2025-11-24,130176.60203699999
2025-11-25,130176.60203699999
2025-11-26,130176.60203699999
2025-11-27,130176.60203699999
2025-11-28,130176.60203699999
2025-12-01,130176.60203699999
2025-12-02,130176.60203699999
2025-12-03,130176.60203699999
2025-12-04,130176.60203699999
2025-12-05,130176.60203699999
2025-12-08,130176.60203699999
2025-12-09,130176.60203699999
2025-12-10,130176.60203699999
2025-12-11,130176.60203699999
2025-12-12,130176.60203699999
2025-12-15,130176.60203699999
2025-12-16,130176.60203699999
2025-12-17,130176.60203699999
2025-12-18,130176.60203699999
2025-12-19,130176.60203699999
2025-12-22,130176.60203699999
2025-12-23,130176.60203699999
2025-12-24,130176.60203699999
2025-12-25,130176.60203699999
2025-12-26,130176.60203699999
2025-12-29,130176.60203699999
2025-12-30,130176.60203699999
2025-12-31,130176.60203699999
2026-01-05,130176.60203699999
2026-01-06,130176.60203699999
2026-01-07,130176.60203699999
2026-01-08,130176.60203699999
2026-01-09,130176.60203699999
2026-01-12,130176.60203699999
2026-01-13,130176.60203699999
2026-01-14,130176.60203699999
2026-01-15,130176.60203699999
2026-01-16,130176.60203699999
2026-01-19,130176.60203699999
2026-01-20,130176.60203699999
2026-01-21,130176.60203699999
2026-01-22,130176.60203699999
2026-01-23,130176.60203699999
2026-01-26,130176.60203699999
2026-01-27,130176.60203699999
2026-01-28,130176.60203699999
2026-01-29,130176.60203699999
2026-01-30,130176.60203699999
2026-02-02,130176.60203699999
2026-02-03,130176.60203699999
2026-02-04,130176.60203699999
2026-02-05,130176.60203699999
2026-02-06,130176.60203699999
2026-02-09,130176.60203699999
2026-02-10,130176.60203699999
2026-02-11,130176.60203699999
2026-02-12,130176.60203699999
2026-02-13,130176.60203699999
2026-02-24,130176.60203699999
2026-02-25,130176.60203699999
2026-02-26,130176.60203699999
2026-02-27,130176.60203699999
2026-03-02,130176.60203699999
2026-03-03,130176.60203699999
2026-03-04,130176.60203699999
2026-03-05,130176.60203699999
2026-03-06,130176.60203699999
2026-03-09,130176.60203699999
2026-03-10,130176.60203699999
2026-03-11,130176.60203699999
2026-03-12,130176.60203699999
2026-03-13,130176.60203699999
2026-03-16,130176.60203699999
2026-03-17,130176.60203699999
2026-03-18,130176.60203699999
2026-03-19,130176.60203699999
2026-03-20,130176.60203699999
2026-03-23,130176.60203699999
2026-03-24,130137.564309
2026-03-25,130814.044309
2026-03-26,136032.604309
2026-03-27,132215.324309
2026-03-30,138593.564309
2026-03-31,137530.524309
2026-04-01,134534.684309
2026-04-02,130620.764309
2026-04-03,124580.764309
2026-04-07,125305.564309
2026-04-08,133375.004309
2026-04-09,129412.764309
2026-04-10,128011.48430899999
2026-04-13,127673.244309
2026-04-14,131297.244309
2026-04-15,133713.244309
2026-04-16,132408.604309
2026-04-17,130379.164309
2026-04-20,138931.804309
2026-04-21,135356.124309
2026-04-22,131442.204309
2026-04-23,126706.844309
2026-04-24,127093.404309
