date,equity
2026-02-12,299760.15302400006
2026-02-13,296296.2018140001
2026-02-24,296296.2018140001
2026-02-25,296296.2018140001
2026-02-26,296296.2018140001
2026-02-27,296207.3466140001
2026-03-02,308151.0266140001
2026-03-03,279543.9866140001
2026-03-04,282722.5466140001
2026-03-05,304490.8666140001
2026-03-06,314604.4666140001
2026-03-09,309210.5466140001
2026-03-10,324236.4666140001
2026-03-11,320865.26661400014
2026-03-12,303142.3866140001
2026-03-13,298904.3066140001
2026-03-16,306995.1866140001
2026-03-17,293703.0266140001
2026-03-18,302468.1466140001
2026-03-19,292450.8666140001
2026-03-20,269638.4378140001
2026-03-23,269638.4378140001
2026-03-24,269638.4378140001
2026-03-25,269638.4378140001
2026-03-26,269638.4378140001
2026-03-27,269638.4378140001
2026-03-30,269638.4378140001
2026-03-31,269638.4378140001
2026-04-01,269638.4378140001
2026-04-02,269638.4378140001
2026-04-03,269638.4378140001
2026-04-07,269638.4378140001
2026-04-08,269638.4378140001
2026-04-09,269638.4378140001
2026-04-10,269638.4378140001
2026-04-13,269638.4378140001
2026-04-14,269638.4378140001
2026-04-15,269638.4378140001
2026-04-16,269638.4378140001
2026-04-17,269638.4378140001
2026-04-20,269557.5784390001
2026-04-21,262620.0784390001
2026-04-22,255026.32843900012
2026-04-23,245838.82843900012
2026-04-24,246588.82843900012
