date,equity
2026-01-26,325814.89596600004
2026-01-27,325814.89596600004
2026-01-28,325814.89596600004
2026-01-29,325814.89596600004
2026-01-30,325814.89596600004
2026-02-02,325814.89596600004
2026-02-03,325814.89596600004
2026-02-04,325814.89596600004
2026-02-05,325717.1871660001
2026-02-06,308830.81647600007
2026-02-09,308830.81647600007
2026-02-10,308830.81647600007
2026-02-11,308830.81647600007
2026-02-12,308830.81647600007
2026-02-13,308830.81647600007
2026-02-24,308830.81647600007
2026-02-25,308830.81647600007
2026-02-26,308830.81647600007
2026-02-27,308830.81647600007
2026-03-02,308738.1958290001
2026-03-03,279990.70422300015
2026-03-04,279990.70422300015
2026-03-05,279906.7322580002
2026-03-06,289204.4822580002
2026-03-09,284245.6822580002
2026-03-10,298059.4822580002
2026-03-11,294960.23225800024
2026-03-12,278667.03225800017
2026-03-13,274770.8322580002
2026-03-16,282209.0322580002
2026-03-17,269908.1355730002
2026-03-18,269908.1355730002
2026-03-19,269908.1355730002
2026-03-20,269908.1355730002
2026-03-23,269908.1355730002
2026-03-24,269908.1355730002
2026-03-25,269908.1355730002
2026-03-26,269908.1355730002
2026-03-27,269908.1355730002
2026-03-30,269908.1355730002
2026-03-31,269908.1355730002
2026-04-01,269908.1355730002
2026-04-02,269908.1355730002
2026-04-03,269908.1355730002
2026-04-07,269908.1355730002
2026-04-08,269908.1355730002
2026-04-09,269908.1355730002
2026-04-10,269908.1355730002
2026-04-13,269908.1355730002
2026-04-14,269908.1355730002
2026-04-15,269827.1925220002
2026-04-16,267194.4225220001
2026-04-17,263099.0025220001
2026-04-20,280358.27252200013
2026-04-21,273142.53252200014
2026-04-22,265244.22252200014
2026-04-23,255688.24252200013
2026-04-24,256468.32252200015
